인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용 이외,문화 및 집회시설,강원,884.35,4.0
예비인증,주거용 이외,국방·군사시설,강원,1421.13,3.0
예비인증,주거용 이외,국방·군사시설,강원,4268.61,3.0
예비인증,주거용 이외,국방·군사시설,강원,1308.6,5.0
예비인증,주거용 이외,교육연구시설,경북,2860.23,3.0
예비인증,주거용 이외,제1종 근린생활시설,충남,973.59,4.0
예비인증,주거용 이외,창고시설,울산,2108.64,3.0
예비인증,주거용,공동주택,경기,13291.28,5.0
예비인증,주거용 이외,제2종 근린생활시설,대구,5338.36,5.0
예비인증,주거용 이외,노유자시설,서울,975.91,5.0
본인증,주거용 이외,노유자시설,경남,1405.64,5.0
예비인증,주거용 이외,제1종 근린생활시설,경남,805.83,5.0
예비인증,주거용 이외,교육연구시설,전남,4243.34,4.0
예비인증,주거용 이외,교육연구시설,경기,9936.01,4.0
예비인증,주거용 이외,제1종 근린생활시설,경기,992.98,4.0
예비인증,주거용,"임대주택(영구, 국민, 공공)",제주,3971.4482,5.0
예비인증,주거용,"임대주택(영구, 국민, 공공)",제주,2793.9301,5.0
예비인증,주거용,공동주택,경기,62781.7,5.0
본인증,주거용 이외,교육연구시설,경남,1871.52,4.0
본인증,주거용 이외,교육연구시설,부산,3031.6,5.0
예비인증,주거용 이외,수련시설,전북,6125.14,3.0
예비인증,주거용 이외,노유자시설,전북,2587.15,4.0
예비인증,주거용 이외,국방·군사시설,강원,779.67,5.0
예비인증,주거용 이외,제1종 근린생활시설,경남,863.93,5.0
예비인증,주거용 이외,공장,충북,1495.41,5.0
예비인증,주거용 이외,국방·군사시설,경기,778.45,5.0
예비인증,주거용 이외,국방·군사시설,경기,779.63,5.0
예비인증,주거용 이외,국방·군사시설,제주,1449.41,5.0
예비인증,주거용 이외,국방·군사시설,전남,1199.61,4.0
예비인증,주거용 이외,업무시설,인천,9451.9983,4.0
예비인증,주거용 이외,교육연구시설,서울,3535.82,4.0
본인증,주거용 이외,운동시설,충북,2890.44,3.0
예비인증,주거용 이외,문화 및 집회시설,경북,651.69,5.0
예비인증,주거용 이외,교육연구시설,경기,4330.02,5.0
예비인증,주거용 이외,교육연구시설,세종,19218.97,4.0
본인증,주거용 이외,문화 및 집회시설,강원,1811.61,5.0
본인증,주거용 이외,의료시설,강원,868.26,3.0
예비인증,주거용 이외,교육연구시설,인천,6834.74,4.0
예비인증,주거용 이외,운수시설,부산,759.23,3.0
