No,인증구분,인증기관,건물구분,건물용도,지역,주소,건물명,신청업체명,연면적,인증등급,인증일자,인증취소일자
1,예비인증,한국생산성본부인증원,주거용 이외,문화 및 집회시설,강원,"강원특별자치도 평창군 평창읍 중리 일반 172, 외 5필지",평창 작은영화관,평창군청,884.35,4,2025.11.20,-
2,예비인증,한국녹색기후기술원,주거용 이외,국방·군사시설,강원,"강원특별자치도 홍천군 남면 양덕원리 297, ",강원도 홍천군 군부대 모듈러 간부숙소,국방시설본부,1421.13,3,2025.11.20,-
3,예비인증,한국녹색기후기술원,주거용 이외,국방·군사시설,강원,"강원특별자치도 화천군 상서면 신풍리 132, ",강원도 화천군 군부대 모듈러 간부숙소,국방시설본부,4268.61,3,2025.11.20,-
4,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 강릉시 월호평동  311, 0",작전차량운영중대 행정시설 및 생활관,국방시설본부,1308.60,5,2025.11.20,-
5,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경북,"경상북도 김천시 개령면 덕촌리 일반 490, 일원",K-드론지원센터(본관동),김천시청,2860.23,3,2025.11.20,-
6,예비인증,한국건설생활환경시험연구원,주거용 이외,제1종 근린생활시설,충남,충남 부여군 초촌면 초촌로 15,초촌면 행정복지센터,충청남도 부여군,973.59,4,2025.11.20,-
7,예비인증,한국녹색기후기술원,주거용 이외,창고시설,울산,"울산광역시 울주군 삼남읍 상천리 일반 463-1, 외 1필지",먹거리통합지원센터,울주군청,2108.64,3,2025.11.20,-
8,예비인증,한국녹색기후기술원,주거용,공동주택,경기,경기 부천시 원미구 삼작로280번길 35,도당동 동아아파트 가로주택정비사업,도당동 동아아파트  가로주택정비사업조합,13291.28,5,2025.11.20,-
9,예비인증,한국녹색기후기술원,주거용 이외,제2종 근린생활시설,대구,대구 달서구 달구벌대로 1621,감삼동  대호빌딩 신축공사,주식회사 국영피앤디,5338.36,5,2025.11.19,-
10,예비인증,한국환경건축연구원,주거용 이외,노유자시설,서울,서울 서초구 도구로7길 9,서울시 서초구 사회복지시설,방배5구역주택재건축정비사업조합,975.91,5,2025.11.19,-
11,본인증,한국환경건축연구원,주거용 이외,노유자시설,경남,"경상남도 거제시 장승포동  일반 561-3, ",장승포동 다어울림 행복문화센터,거제시청,1405.64,5,2025.11.18,-
12,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,경남,"경상남도 창원시  마산회원구 합성동  일반 74-14, 일원",합성Link센터,창원시청,805.83,5,2025.11.18,-
13,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,전남,전남 무안군 무안읍 교촌길 38,무안북중학교,담양배움터 주식회사,4243.34,4,2025.11.18,-
14,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경기,"경기도 용인시  처인구 남동  산 126-29, (가칭)남동1초등학교",(가칭)남동1초등학교 신축공사 설계용역,용인교육지원청,9936.01,4,2025.11.18,-
15,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,경기,"경기도 오산시 청학동  369-2, ",오산소방서 청학119안전센터,경기도소방재난본부,992.98,4,2025.11.18,-
16,예비인증,한국부동산원,주거용,"임대주택(영구, 국민, 공공)",제주,"제주특별자치도 제주시 건입동  일반 1045-1, 번지",마음에온 건입2차 통합공공임대주택,제주특별자치도개발공사,3971.4482,5,2025.11.18,-
17,예비인증,한국부동산원,주거용,"임대주택(영구, 국민, 공공)",제주,"제주특별자치도 서귀포시 동홍동  일반 529-1, ",마음에온 동홍 1차 통합공공임대주택,제주특별자치도개발공사,2793.9301,5,2025.11.18,-
18,예비인증,한국건설생활환경시험연구원,주거용,공동주택,경기,"경기도 수원시  권선구 금곡동 , 일원",수원당수 B-3BL 공공주택  건설공사,한국토지주택공사,62781.70,5,2025.11.18,-
19,본인증,한국환경건축연구원,주거용 이외,교육연구시설,경남,경남 거제시 일운면 지세포로 74,일운초등학교 본관동,거제교육지원청,1871.52,4,2025.11.17,-
20,본인증,한국녹색기후기술원,주거용 이외,교육연구시설,부산,부산 기장군 일광읍 일역길 75-31,일광도서관,부산광역시 기장군,3031.60,5,2025.11.17,-
